RestaurantID,City,Area,RestaurantName,CuisineTypes,AverageMealPrice,AverageRating,TotalRatings,EstimatedOrders,EstimatedRevenue,DeliveryTimeMinutes,DiscountPercentage,DeliveryPartner,Address,LastUpdatedDate
29,Bangalore,Indiranagar,Street Bakery Zone,"Seafood, Pizza, Andhra, South Indian",938,4.2,13872,306,287028,54,30,Swiggy Genie,"H.No. 765, Kibe, Amritsar 321730",11-09-2025
30,Chennai,Velachery,Food Bakery Factory,"South Indian, Healthy Food, Arabian",1013,4.1,8429,4803,4865439,27,40,Swiggy Genie,"H.No. 725, Dave Chowk, Loni-503262",17-06-2025
31,Chennai,Anna Nagar,House Fast Food Factory,"North Indian, Ice Cream, Mughlai, Italian",1003,2.9,10932,1100,1103300,41,30,Regular Delivery,"84/892, Buch Road, Bhusawal 175416",18-01-2026
32,Chennai,OMR,Cafe Arabian Zone,"Andhra, Burgers, Fast Food",380,3.2,10944,4742,1801960,44,15,Swiggy One,"81/15, Suri Chowk, Amravati-454036",05-10-2025
33,Mumbai,Lower Parel,Street Fast Food Treats,Arabian,779,3.8,7294,4267,3323993,63,20,Swiggy One,"66, Lalla Ganj, Ajmer 707245",12-01-2026
34,Hyderabad,Madhapur,Tandoori Arabian Junction,"Seafood, South Indian, Andhra",527,3.1,807,676,356252,35,50,Swiggy One,"H.No. 818, Bava Marg, Solapur 587480",02-10-2025
35,Mumbai,Lower Parel,Food Desserts Corner,"Mughlai, Desserts",131,4.7,14147,3562,466622,69,10,Swiggy Genie,"82/64, Agrawal Chowk, Hindupur 487264",14-09-2025
36,Hyderabad,Hitech City,Kitchen Pizza World,"South Indian, Ice Cream, Biryani, Healthy Food",769,4.8,14655,4568,3512792,48,40,Swiggy One,"965, Kapur Chowk, Ranchi-540181",09-12-2025
37,Hyderabad,Banjara Hills,Street Healthy Food Junction,"Ice Cream, Mughlai, Biryani, Seafood",682,3.7,11740,2305,1572010,38,20,Swiggy One,"37, Dhar Ganj, Hospet-071123",11-01-2026
38,Chennai,OMR,Urban Desserts Treats,Pizza,432,4.3,1102,2790,1205280,46,40,Regular Delivery,"H.No. 233, Kota Road, Dindigul 183816",05-01-2026
39,Mumbai,Dadar,Food Mughlai Grill,Fast Food,160,4.6,12593,3987,637920,56,40,Swiggy Genie,"27/15, Dutt Path, Farrukhabad-395729",30-08-2025
40,Chennai,T Nagar,Express Desserts World,"Andhra, Ice Cream, Bakery, Healthy Food",569,3.4,8006,2833,1611977,21,40,Regular Delivery,"279, Bora, South Dumdum-056331",21-10-2025
41,Mumbai,Bandra,Food North Indian Point,"Pizza, Arabian, Ice Cream, North Indian",997,3.1,7614,2211,2204367,31,0,Swiggy One,"04/65, Arora Street, Kavali 329996",25-12-2025
42,Chennai,Velachery,Street Andhra Palace,"Seafood, Burgers, Mughlai, Fast Food",287,3.8,12322,2946,845502,54,0,Swiggy Genie,"H.No. 68, Kulkarni Ganj, Amritsar-045989",18-03-2026
43,Bangalore,BTM Layout,Tandoori North Indian Grill,Desserts,432,3.3,7808,4700,2030400,62,10,Swiggy Genie,"62, Jhaveri, Muzaffarnagar 236255",18-05-2026
44,Mumbai,Powai,Cafe Biryani Corner,"Burgers, Arabian, Italian",757,3,470,3329,2520053,39,40,Regular Delivery,"H.No. 76, Soni Path, Nanded 744682",06-02-2026
45,Hyderabad,Madhapur,Street Biryani Grill,"Biryani, Bakery",204,3.5,7068,644,131376,62,30,Regular Delivery,"H.No. 261, Hans Path, Udupi-079402",18-09-2025
46,Chennai,Anna Nagar,House Italian Corner,"Healthy Food, South Indian, Fast Food, Burgers",1011,3.2,8598,4488,4537368,61,25,Swiggy One,"148, Buch Path, Tiruvottiyur-635212",06-07-2025
47,Mumbai,Dadar,Royal Ice Cream World,"Seafood, Andhra, Biryani",619,4.4,9386,2835,1754865,59,40,Swiggy Genie,"55/20, Bassi Marg, Dehradun-829595",24-02-2026
48,Mumbai,Powai,Biryani Ice Cream Factory,"Healthy Food, Biryani",692,4.6,11538,4312,2983904,37,0,Swiggy Genie,"H.No. 484, Din Nagar, Hapur-967807",19-06-2025
49,Bangalore,Indiranagar,Cafe Healthy Food World,"Healthy Food, Ice Cream, Mughlai, Biryani",1037,4.5,1574,3392,3517504,38,20,Regular Delivery,"H.No. 65, Zacharia Chowk, Surendranagar Dudhrej 659567",20-10-2025
50,Hyderabad,Kukatpally,Biryani Andhra Zone,"Healthy Food, Ice Cream, Italian",797,3.5,7484,2139,1704783,37,25,Swiggy Genie,"H.No. 109, Kara Nagar, Malegaon 177505",02-06-2025
51,Bangalore,Indiranagar,Cafe Burgers Junction,"Biryani, Bakery, Ice Cream",563,4.4,4580,903,508389,66,25,Swiggy Genie,"H.No. 900, Agate Circle, Bhagalpur 147595",23-04-2026
52,Chennai,Velachery,Cafe Pizza Palace,"Burgers, Pizza, North Indian",213,4.8,9116,4101,873513,38,15,Swiggy Genie,"69/21, Bora Marg, Tiruchirappalli 578251",12-03-2026
53,Bangalore,Jayanagar,Biryani Burgers Hub,"Healthy Food, Desserts, Italian",637,4.8,7877,3362,2141594,27,10,Swiggy One,"H.No. 24, Kade, Dhule-238121",15-06-2025
54,Bangalore,Jayanagar,Urban Arabian Point,Pizza,628,3,12574,4360,2738080,46,20,Swiggy One,"456, Lad Path, Tadepalligudem 280485",25-01-2026
55,Mumbai,Dadar,Delight South Indian Grill,"Andhra, Pizza, Arabian",323,4.8,3454,2247,725781,60,20,Regular Delivery,"H.No. 93, Deshpande Street, Mumbai 345404",15-10-2025
56,Bangalore,Indiranagar,Royal Burgers Hub,"Burgers, Ice Cream",956,3.7,9779,347,331732,50,25,Swiggy Genie,"97, Handa Ganj, Faridabad-133342",04-06-2025
57,Chennai,T Nagar,House Fast Food Treats,"Chinese, Seafood, Biryani, Pizza",355,3.9,10660,1245,441975,29,25,Swiggy Genie,"H.No. 76, Dugal Path, Chennai 485092",02-04-2026
58,Bangalore,Indiranagar,Kitchen Arabian Treats,"Arabian, Desserts, South Indian",677,3.9,8140,4979,3370783,48,10,Swiggy Genie,"H.No. 45, Doshi Path, Pondicherry 984281",06-08-2025
59,Mumbai,Powai,House North Indian Palace,"North Indian, South Indian, Biryani",202,4.4,2920,2358,476316,50,50,Swiggy Genie,"27/964, Dada Path, Bareilly-553646",03-04-2026
60,Delhi,Dwarka,Biryani Seafood Point,"Chinese, Desserts, Burgers, Fast Food",449,3.5,11415,3360,1508640,51,25,Regular Delivery,"276, Jha Zila, Bijapur-270684",20-06-2025
61,Bangalore,Whitefield,Street Seafood Point,Seafood,947,4.6,13565,3465,3281355,20,50,Swiggy Genie,"877, Mammen Road, Imphal 296796",09-09-2025
62,Hyderabad,Hitech City,Spice Fast Food Palace,"Healthy Food, Seafood, Desserts",388,4.7,7228,1074,416712,64,50,Swiggy Genie,"913, Babu Road, Baranagar-051587",01-06-2025
63,Delhi,Saket,Spice Andhra Point,"Arabian, Ice Cream",580,4.9,1908,1341,777780,49,10,Swiggy One,"22, Bumb Chowk, Bhatpara 905685",26-06-2025
64,Chennai,OMR,Kitchen Desserts World,"Andhra, Healthy Food, Desserts",416,3.6,9870,651,270816,52,15,Swiggy One,"H.No. 46, Gupta Path, Muzaffarpur-584959",02-12-2025
65,Mumbai,Powai,Street Healthy Food Corner,"North Indian, Pizza, Bakery",1034,3.9,5704,3810,3939540,41,40,Swiggy One,"H.No. 627, Sundaram Chowk, Kavali-914218",26-11-2025
66,Hyderabad,Gachibowli,Spice Seafood World,"Desserts, Andhra, Mughlai, Fast Food",900,3.6,10923,4137,3723300,70,15,Swiggy Genie,"H.No. 902, Dayal, Haldia-979632",21-09-2025
67,Hyderabad,Hitech City,Kitchen Biryani Zone,"Biryani, Andhra, Italian",1055,2.8,2411,692,730060,46,15,Swiggy One,"H.No. 84, Bains, Bhiwani 236806",25-07-2025
68,Chennai,T Nagar,Express Mughlai Factory,"Chinese, Andhra, Burgers, Seafood",1119,4.6,638,2003,2241357,59,10,Regular Delivery,"602, Sastry, Vijayanagaram-991094",20-02-2026
69,Chennai,Velachery,Royal Biryani World,Andhra,460,4.3,14851,2737,1259020,21,0,Swiggy Genie,"25/781, D’Alia Chowk, Miryalaguda 630145",01-05-2026
70,Chennai,T Nagar,Express Andhra Grill,"Andhra, Chinese, Biryani",488,3.2,1343,2052,1001376,59,40,Swiggy One,"54/076, Sani Nagar, Kishanganj-770851",31-12-2025
71,Delhi,Saket,Street Italian Palace,"Italian, Seafood",139,4.7,7672,685,95215,38,15,Swiggy One,"40/757, Bedi Street, Kurnool 078190",01-05-2026
72,Chennai,OMR,Kitchen Arabian Junction,"Andhra, Bakery, Pizza",907,4.6,1797,4765,4321855,35,40,Swiggy One,"H.No. 80, Saini Ganj, North Dumdum 700490",24-05-2026
73,Delhi,Karol Bagh,Food Ice Cream Hub,"North Indian, Andhra, Seafood",220,4.7,12258,1965,432300,51,25,Regular Delivery,"H.No. 278, Korpal Street, Hospet 863328",08-01-2026
74,Chennai,Velachery,Cafe Pizza Point,"Ice Cream, Seafood",200,3.4,7272,1156,231200,22,30,Swiggy Genie,"96, Walla Path, Bilaspur-751756",18-07-2025
75,Chennai,T Nagar,Express Bakery Zone,"Burgers, Biryani, Chinese, Mughlai",1147,4.7,13656,4027,4618969,30,25,Swiggy One,"55/95, Goswami Zila, Malda 465291",08-11-2025
76,Chennai,Anna Nagar,House Mughlai Zone,"Chinese, Healthy Food, Mughlai, Biryani",869,3,6514,4475,3888775,20,25,Swiggy Genie,"00/76, D’Alia Zila, Thoothukudi 667315",29-08-2025
77,Mumbai,Powai,Biryani Biryani Junction,"Mughlai, Andhra, Seafood",1085,2.9,14537,1893,2053905,55,30,Regular Delivery,"50/138, Cherian Circle, Gorakhpur-145394",22-03-2026
78,Bangalore,Whitefield,Spice South Indian Palace,"Andhra, South Indian, Chinese",1128,3,3896,3263,3680664,54,15,Swiggy One,"H.No. 584, Singhal Marg, Jabalpur-928073",13-09-2025
79,Chennai,OMR,Royal Healthy Food Grill,"Pizza, Italian, Fast Food, Seafood",955,4.8,4633,1859,1775345,22,30,Swiggy One,"39/256, Deep Ganj, Jammu-137569",17-12-2025
80,Mumbai,Bandra,Express Bakery Hub,"Biryani, Seafood, Burgers",935,3.4,2051,830,776050,74,50,Regular Delivery,"H.No. 58, Amble, Vijayawada-094090",29-01-2026
81,Hyderabad,Hitech City,Biryani Desserts Corner,South Indian,540,2.9,12586,4883,2636820,55,20,Swiggy Genie,"H.No. 31, Hegde Ganj, Gulbarga-918306",29-08-2025
82,Hyderabad,Kukatpally,Urban Pizza Zone,"North Indian, Pizza",633,4.5,1851,1159,733647,62,0,Swiggy Genie,"825, Hans, Ambarnath-873221",24-09-2025
83,Chennai,Velachery,Spice Pizza Treats,"North Indian, Chinese, Pizza",1197,3,1091,3045,3644865,50,50,Regular Delivery,"56/10, Sahota Marg, Bikaner 273339",12-08-2025
84,Delhi,Connaught Place,House Arabian World,"Desserts, Arabian, North Indian, Bakery",183,2.9,7897,3572,653676,74,40,Regular Delivery,"01/827, Dada Marg, Thane 029815",23-05-2026
85,Bangalore,Whitefield,Delight Pizza Point,"Chinese, Italian, South Indian, Burgers",378,3.4,10422,3200,1209600,57,30,Regular Delivery,"H.No. 680, Dutt, Bihar Sharif 708317",22-12-2025
86,Delhi,Karol Bagh,Royal Fast Food Treats,"Andhra, South Indian, Mughlai, Bakery",1044,4.7,6829,3346,3493224,41,50,Swiggy One,"H.No. 376, Mangat Marg, North Dumdum 280303",06-09-2025
87,Bangalore,Koramangala,Urban Healthy Food Point,"Seafood, Healthy Food, Pizza, Burgers",306,4.5,1577,3132,958392,47,10,Swiggy Genie,"H.No. 79, Mani Street, Nangloi Jat 200096",07-07-2025
88,Delhi,Connaught Place,House Andhra Hub,"Biryani, Fast Food, Burgers",709,4.1,5811,1347,955023,26,20,Regular Delivery,"H.No. 367, Datta Ganj, Muzaffarnagar-609115",27-06-2025
89,Mumbai,Bandra,Express Bakery Point,Bakery,690,4,13275,2270,1566300,47,0,Swiggy Genie,"70/767, Kalla Chowk, Sambalpur 746356",24-12-2025
90,Hyderabad,Kukatpally,Urban Pizza Grill,"Seafood, Burgers, North Indian",940,2.9,12190,831,781140,60,0,Regular Delivery,"49/373, Rege Ganj, Rohtak-323556",03-08-2025
91,Delhi,Saket,Biryani Arabian Factory,"Andhra, Desserts, Burgers, Chinese",293,4.7,2599,748,219164,30,0,Swiggy One,"871, Soman Street, Rourkela 555288",07-01-2026
92,Mumbai,Dadar,Express Biryani Factory,"Italian, Fast Food, Pizza, Biryani",1000,3,11161,4396,4396000,63,50,Regular Delivery,"98/82, Uppal Zila, Bokaro 689311",18-02-2026
93,Chennai,Anna Nagar,Spice North Indian Junction,"Mughlai, Arabian",737,4.8,12622,2451,1806387,28,25,Swiggy One,"H.No. 62, Saini Circle, Karaikudi 254541",13-12-2025
94,Bangalore,BTM Layout,Express Desserts Zone,"Andhra, Chinese, Italian, Fast Food",845,3,14169,3653,3086785,67,0,Swiggy Genie,"H.No. 25, Taneja Zila, Meerut 117594",18-12-2025
95,Mumbai,Andheri,Cafe Andhra Palace,"Andhra, Arabian, Fast Food",355,3.7,5371,3044,1080620,30,50,Swiggy Genie,"552, Batra Street, Bongaigaon 294735",04-02-2026
96,Mumbai,Andheri,Food Chinese Treats,"Andhra, Arabian",755,4.4,3680,705,532275,41,15,Regular Delivery,"H.No. 956, Yohannan Path, Jehanabad 577386",21-02-2026
97,Bangalore,Jayanagar,Cafe Pizza Junction,"Bakery, Burgers",330,3.1,3282,697,230010,31,15,Swiggy Genie,"32/516, Acharya Nagar, Khandwa 767249",20-04-2026
98,Mumbai,Dadar,Urban Italian Point,"Seafood, Andhra, Healthy Food, Burgers",1080,3.7,5011,4924,5317920,70,25,Swiggy Genie,"H.No. 608, Sinha Road, Motihari 828178",10-05-2026
99,Chennai,OMR,Kitchen Italian Hub,Arabian,236,3.6,4753,4946,1167256,24,10,Regular Delivery,"54/061, Dugal, Latur-624069",14-05-2026
100,Mumbai,Dadar,Delight Fast Food Factory,Italian,1094,3.9,1063,2893,3164942,48,10,Regular Delivery,"H.No. 808, Goel Road, Gurgaon 344147",09-10-2025
101,Bangalore,Jayanagar,Cafe Italian World,"South Indian, Biryani",1193,3.9,2650,2397,2859621,43,30,Swiggy One,"514, Sarraf Zila, Mahbubnagar-724207",17-08-2025
102,Mumbai,Powai,Royal Seafood Point,Seafood,911,3.4,11907,2810,2559910,74,15,Swiggy Genie,"H.No. 32, Biswas Street, Guntakal 230637",10-12-2025
103,Delhi,Saket,House Mughlai Corner,"Arabian, Seafood, Bakery",293,3.5,6221,1126,329918,61,30,Regular Delivery,"46, Khare Path, Avadi 773879",02-10-2025
104,Delhi,Connaught Place,Urban Fast Food Factory,"Bakery, North Indian, Burgers, Pizza",1115,3.2,2303,2503,2790845,29,10,Swiggy Genie,"73/269, Ganguly Path, Sambalpur 736253",03-12-2025
105,Delhi,Rohini,Delight Pizza Grill,Seafood,891,3.1,3012,3665,3265515,73,15,Swiggy Genie,"H.No. 55, Amble Marg, Jorhat 216210",29-06-2025
106,Mumbai,Powai,Street Italian Junction,"Italian, Arabian",609,3.4,13298,1669,1016421,70,50,Swiggy One,"H.No. 42, Kar Circle, Proddatur-426658",31-03-2026
107,Delhi,Dwarka,Express Andhra Corner,"Arabian, Mughlai, Fast Food, Ice Cream",528,4.5,2317,507,267696,75,25,Regular Delivery,"76/88, Sura Zila, Jodhpur 362817",25-07-2025
108,Mumbai,Powai,Street Chinese Corner,Biryani,678,3.7,8460,831,563418,29,40,Swiggy Genie,"882, Hayre Nagar, Surendranagar Dudhrej-684592",28-05-2025
109,Mumbai,Powai,Spice Mughlai Zone,Andhra,885,3.3,1387,310,274350,43,20,Swiggy One,"H.No. 972, Venkataraman Street, Satara-115041",03-02-2026
110,Bangalore,Koramangala,Street Healthy Food Corner,"Pizza, North Indian",1080,3.7,136,2176,2350080,25,0,Swiggy Genie,"70/73, Ganesh Marg, Malda 048071",25-01-2026
111,Hyderabad,Hitech City,Street Biryani Hub,"Biryani, Mughlai, Pizza, Healthy Food",608,3.7,13057,594,361152,59,50,Swiggy Genie,"H.No. 288, Kanda Path, Hazaribagh-756836",13-10-2025
112,Mumbai,Lower Parel,Cafe Pizza Palace,Desserts,999,2.8,5830,1614,1612386,35,40,Regular Delivery,"23/05, Varkey Street, Hindupur 523963",21-07-2025
113,Bangalore,Jayanagar,Express North Indian Treats,"Chinese, Ice Cream, Italian",1082,2.9,6388,213,230466,43,25,Swiggy One,"18, Chandran Ganj, Karimnagar 525181",06-11-2025
114,Bangalore,Koramangala,Delight Seafood Corner,"Biryani, Mughlai",210,3.5,5596,3886,816060,72,15,Regular Delivery,"H.No. 18, Grover, Kavali 264560",27-01-2026
115,Mumbai,Bandra,Kitchen South Indian Palace,"Chinese, Bakery",532,2.9,3318,2620,1393840,22,30,Regular Delivery,"79, Chacko, Srinagar-823120",25-09-2025
116,Mumbai,Lower Parel,Tandoori Arabian Factory,"Ice Cream, North Indian, Mughlai, Seafood",217,4.6,5488,3094,671398,37,10,Swiggy One,"800, Rout Ganj, Danapur-956956",01-11-2025
117,Mumbai,Dadar,Kitchen Bakery Zone,"Seafood, Chinese, Desserts, Bakery",666,4.5,11962,3607,2402262,47,10,Regular Delivery,"H.No. 36, Sanghvi Zila, Ludhiana 284853",27-01-2026
118,Hyderabad,Hitech City,Biryani Arabian Palace,"Seafood, South Indian, Italian",1033,4.1,7031,2959,3056647,30,50,Swiggy One,"90/72, Zachariah Road, Raurkela Industrial Township-368695",12-10-2025
119,Bangalore,Koramangala,Royal Mughlai Factory,"Ice Cream, Seafood, Mughlai, North Indian",1170,4.5,11181,1249,1461330,30,0,Regular Delivery,"56/062, Aurora Nagar, Panchkula-887366",16-04-2026
120,Mumbai,Andheri,House Bakery Factory,"Chinese, Biryani",904,4.8,580,3765,3403560,58,15,Swiggy One,"H.No. 852, Kuruvilla Ganj, Adoni 399187",16-12-2025
121,Chennai,Adyar,Express Bakery Treats,Pizza,763,4.2,4139,1604,1223852,27,0,Swiggy One,"H.No. 23, Singhal Ganj, Rajkot 715088",11-10-2025
122,Delhi,Dwarka,Street Italian Junction,Ice Cream,704,4.3,8097,1191,838464,32,10,Swiggy Genie,"15/17, Gaba Zila, Vijayawada 492800",25-05-2025
123,Mumbai,Bandra,House Bakery Point,"Chinese, Mughlai, Seafood, Burgers",714,4.7,13998,3041,2171274,30,15,Regular Delivery,"H.No. 821, Bora Ganj, Saharanpur 374395",05-04-2026
124,Hyderabad,Madhapur,Kitchen North Indian Factory,"Pizza, Biryani",875,3.8,9088,618,540750,28,10,Swiggy One,"893, Gaba, Kanpur-984112",31-01-2026
125,Mumbai,Dadar,Urban Seafood Point,"Andhra, Healthy Food, Arabian, South Indian",1041,3.8,8526,4596,4784436,42,15,Regular Delivery,"610, Amble Street, Malegaon 418334",20-01-2026
126,Delhi,Saket,Spice Biryani Zone,"Andhra, Ice Cream",433,3.4,2703,2914,1261762,40,20,Regular Delivery,"69/982, Batta Chowk, Nellore 103691",17-10-2025
127,Chennai,Anna Nagar,Street Pizza Palace,"Fast Food, Seafood, Ice Cream",311,3.9,2812,1482,460902,57,15,Regular Delivery,"86/437, Shetty Circle, Kirari Suleman Nagar 548984",18-10-2025
128,Delhi,Rohini,Spice Chinese Hub,"South Indian, Andhra, Italian",662,4.2,12615,328,217136,56,40,Swiggy One,"H.No. 81, Tara Marg, Madanapalle 797033",10-06-2025
129,Delhi,Karol Bagh,House Mughlai Palace,"Healthy Food, Biryani, Mughlai",1048,3,1031,3484,3651232,30,50,Swiggy One,"43, Mahajan Path, Darbhanga-940436",11-12-2025
130,Mumbai,Bandra,Cafe Seafood Factory,"Pizza, Burgers, Andhra",936,3.1,6120,2694,2521584,52,10,Swiggy Genie,"H.No. 95, Deep Path, Raurkela Industrial Township-971271",17-03-2026
131,Mumbai,Andheri,Royal South Indian Palace,"Italian, Biryani, Chinese",906,4.6,6900,2762,2502372,35,15,Regular Delivery,"H.No. 35, Kanda Circle, Kakinada 148591",06-04-2026
132,Chennai,Velachery,Kitchen Healthy Food Palace,"Healthy Food, Ice Cream",1138,2.8,6492,2052,2335176,52,50,Swiggy Genie,"05/46, Choudhury Ganj, Malegaon-859419",31-12-2025
133,Delhi,Karol Bagh,Street Healthy Food Grill,South Indian,1083,3.4,183,3610,3909630,74,10,Swiggy Genie,"26, Doctor Ganj, Darbhanga-646463",18-09-2025
134,Chennai,T Nagar,Delight Fast Food Factory,"Bakery, North Indian, Fast Food, Italian",711,3,8311,1053,748683,48,25,Swiggy Genie,"00/068, Loyal Zila, Dhule-256156",04-04-2026
135,Bangalore,Whitefield,Urban Fast Food Grill,"Seafood, Ice Cream, Burgers",1162,3.6,709,1202,1396724,22,0,Regular Delivery,"92/59, Dass Chowk, Panchkula 998934",30-05-2025
136,Chennai,Adyar,Biryani Seafood Corner,"Pizza, Arabian, Ice Cream, Chinese",924,4.9,12163,4943,4567332,73,25,Swiggy One,"49/715, Hans Street, Jaunpur-694456",23-03-2026
137,Delhi,Rohini,Biryani Seafood Point,"Arabian, Desserts, Andhra, North Indian",973,4,13104,4969,4834837,66,0,Swiggy One,"99/863, Dey Path, Danapur-024961",03-06-2025
138,Chennai,OMR,Kitchen Burgers Zone,"South Indian, Arabian",898,3.1,11203,4770,4283460,35,0,Regular Delivery,"782, Sunder Path, Silchar 034862",04-10-2025
139,Bangalore,Indiranagar,Biryani Andhra Corner,Italian,965,4.3,6773,590,569350,52,50,Regular Delivery,"429, Bakshi Chowk, Durg-916010",07-09-2025
140,Hyderabad,Hitech City,Kitchen Mughlai Factory,"Seafood, Healthy Food",474,3.8,8784,2245,1064130,41,30,Regular Delivery,"H.No. 263, Goyal Nagar, Ballia-145884",27-09-2025
141,Mumbai,Bandra,Street Desserts Palace,"Ice Cream, Healthy Food",711,4.3,11358,2677,1903347,65,50,Swiggy One,"55/05, Anand Marg, Chandigarh 552878",05-10-2025
142,Chennai,OMR,House Mughlai Treats,"Arabian, South Indian, Healthy Food",826,4.8,13232,424,350224,29,25,Swiggy One,"15/78, Handa Street, Jammu-229874",25-10-2025
